cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,cases,SUM_CASES,DATE
4135.0,2867.0,2323.0,252.0,5896.0,1367.0,203.0,353.0,9155.0,18633.0,2131.0,3806.0,9.0,219.0,23227.0,457.0,20.0,1167.0,176.0,166.0,3919.0,416.0,32733.0,3919.0,7753.0,1021.0,1302.0,10222.0,5674.0,4221.0,11299.0,159041.0,2020-11-25
3090.0,3953.0,1973.0,304.0,4375.0,1169.0,232.0,297.0,4452.0,13554.0,1387.0,3929.0,12.0,250.0,22927.0,116.0,69.0,1179.0,602.0,133.0,5163.0,1329.0,15002.0,4044.0,4207.0,231.0,470.0,12228.0,3874.0,9688.0,15450.0,135689.0,2020-11-24
5215.0,589.0,3308.0,187.0,1513.0,850.0,349.0,423.0,13157.0,10864.0,1498.0,3334.0,8.0,318.0,28337.0,376.0,3.0,2307.0,571.0,80.0,5382.0,0.0,17856.0,4788.0,5837.0,984.0,1024.0,25886.0,2422.0,0.0,18662.0,156128.0,2020-11-23
6239.0,1263.0,3573.0,245.0,3187.0,1273.0,299.0,469.0,17881.0,15741.0,2309.0,4320.0,18.0,341.0,34764.0,642.0,15.0,1983.0,519.0,102.0,6062.0,0.0,24213.0,6472.0,9685.0,1861.0,1704.0,0.0,4493.0,0.0,19875.0,169548.0,2020-11-22
6612.0,3081.0,2958.0,232.0,5808.0,1257.0,361.0,461.0,22882.0,22964.0,2551.0,4397.0,20.0,329.0,37239.0,380.0,22.0,2265.0,670.0,141.0,5919.0,670.0,22464.0,6489.0,9272.0,1818.0,1546.0,0.0,5458.0,4923.0,20252.0,193441.0,2020-11-21
6830.0,3019.0,3164.0,268.0,6471.0,1297.0,411.0,351.0,21150.0,23648.0,3227.0,4440.0,5.0,415.0,36176.0,366.0,21.0,1682.0,892.0,121.0,5638.0,655.0,23975.0,6994.0,10108.0,1665.0,2070.0,15156.0,7621.0,4988.0,22915.0,215739.0,2020-11-20
7766.0,3700.0,3251.0,198.0,5515.0,1257.0,271.0,288.0,28383.0,22609.0,3209.0,4512.0,11.0,372.0,34280.0,442.0,49.0,1934.0,425.0,140.0,4606.0,603.0,19883.0,5891.0,10269.0,1311.0,2027.0,16233.0,4961.0,6085.0,19609.0,210090.0,2020-11-19
5664.0,4828.0,1945.0,228.0,4246.0,1220.0,185.0,228.0,45522.0,17561.0,2422.0,4290.0,10.0,330.0,32191.0,278.0,13.0,965.0,164.0,173.0,4296.0,547.0,19152.0,4452.0,8262.0,1326.0,1393.0,15318.0,4460.0,4522.0,20051.0,206242.0,2020-11-18
4304.0,5821.0,1313.0,107.0,5407.0,1195.0,211.0,104.0,9406.0,14419.0,2198.0,5203.0,16.0,453.0,27352.0,89.0,4.0,1153.0,548.0,110.0,4822.0,1737.0,20816.0,8371.0,4931.0,509.0,502.0,13159.0,2543.0,12779.0,21363.0,170945.0,2020-11-17
5278.0,1057.0,2362.0,127.0,1887.0,1058.0,489.0,213.0,27228.0,10824.0,1695.0,6495.0,3.0,377.0,33977.0,316.0,15.0,1371.0,613.0,103.0,5408.0,0.0,21854.0,6035.0,7096.0,1200.0,920.0,38273.0,1582.0,0.0,24962.0,202818.0,2020-11-16
